tanggal,sentimen_1,sentimen_2,sentimen_3,sentimen_4,sentimen_5,sentimen_6,sentimen_7,sentimen_8,sentimen_9,sentimen_10,sentimen_11,sentimen_12,sentimen_13,sentimen_14,sentimen_15,sentimen_16,sentimen_17,sentimen_18,sentimen_19,sentimen_20,sentimen_21,sentimen_22,sentimen_23,sentimen_24,sentimen_25,sentimen_26,sentimen_27,sentimen_28,sentimen_29,sentimen_30,sentimen_31,sentimen_32,sentimen_33,sentimen_34,sentimen_35,sentimen_36,sentimen_37,sentimen_38,sentimen_39,sentimen_40,sentimen_41,sentimen_42,sentimen_43,sentimen_44,sentimen_45,sentimen_46,sentimen_47,sentimen_48,sentimen_49,sentimen_50,sentimen_51,sentimen_52,sentimen_53,sentimen_54,sentimen_55,sentimen_56,sentimen_57,sentimen_58,sentimen_59,sentimen_60,sentimen_61,sentimen_62,sentimen_63
2023-06-19,Iya kaleee....kan mobil/motor di JKT cm sedikit di jalanan ga mungkin bikin polusi udara. Selain itu juga ga bisa jalan semua mobil/motornya krn terganggu jalur sepeda pelebaran trotoar yg sdg inprogress mo di delete oleh pltgub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-29,Segeralah diganti dengan kendaraan listrik agar kualitas udara lebih baik lagi dan jauhkan industri dari tempat pemukiman warga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,Terlalu banyk pabrik yg akibatkan asap2 hitam polusi selain padat transportasi,bgm udara kota jkt mau bersih dgn semakin bertambahnya kendaraan roda 2 n roda 4. sebuah kota klu mau bersih kendaraan roda 2 n roda 4 d kurangi contoh d tokyo jepang klu ukuran pasar pke sepeda aja jd kwalitas udaranya tetap terjaga.,NKRI salam untuk warga DKI CUACA yg buruk apa capres nya yg buruk / akibat penebangan pohon mahoni di MONAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,Maklum lah kawasan macet pabrik.,"Udara jakarta ingin bersih, pindah ke hutan, IKN, itu solusinya.",Trus bangun pabrik2 dan kendaraan trus diproduksi..,mana ada pohon itu gundul semua pembangunan cukup padat gimana udara gk kotor deket pabrik tangerang bekasi.. jelas polusi bget itu.. semua orang masing2 punya mobil motor banyak jelas macet polusi ..coba sprti di luar pjln kaki klo jauh naiknya bus kereta ..lebih sehat orgnya pnjang umur smpe 100th bahkan lebih ..justru umur 90 msih bnyk yg krja.. coba contoh negara2 maju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-09,"Kalo mau serius berantas polusi udara mending naikin aja pajak, hapus pemutihan pajak, sama hapus cicil murah kendaraan bermotor milik pribadi. Kalo perlu sita kendaraan pribadi yg udh nunggak pajak.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-28,"Ya gmna industri massive dibangun disitu, permukiman disitu semua aspek atau faktor polusi semuanya dibangun disitu jabodetabek , solusi katanya pindah ibu kota, biar ga banjir sama polusi lagi , ibarat abis manis sepah dibuang","Makanya....secepatnya pindah k ikn, biar jkt cpt bersih udaranya!!!!","Plt yg dipilih memang sengaja mau merusak Jakarta! Jurus Jokowi dkk Setali 3 uang,jakarta rusak, nama Anies rusak, IKN aman n lancar!",Tata kota ga di urus Polusi ga di urus Kendaraan pribadi banyak Transportasi publik setengah setengah,"setidaknya kita bisa peringkat 1 di dunia,terima kasih jakarta telah membawa nama indonesia mendunia","akibat tak melanjutkan program pak anies baswedan , dki kembali kotor","Semenjak Pak Anies selesai menjabat, Jakarta mulai amburadul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01,Sudah kuduga selama 5 thn jkt dibiarkan malah pohon2 besar di monas saja ditebangi si bani yaman basedan.... nanam pohon pun tdk.... Semoga kedepan ini bantaran sungai dan DAS dihijaukan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08,Ini akibat gubenur give away yang songong bin sotoy....padahal waktu pak anies jakarta sudah bagus kualitas udaranya dan itu terbukti jakarta mendapat banyak penghargaan,"SIMAK,DERETAN KEGAGALAN ANIS YANG HANYA BERMODAL DENGAN JANJI MANIS, DI KLAIM SI PALING CERDAS,TERNYATA GAK TUNTAS 1.APBD terbesar ,tapi gagal memakmurkan warganya 2.Meningkatnya pengangguran mencapai 8% 3.Meningkatnya kemiskinan 0,39 - 0,42 4.Tetap memberikan izin reklamasi bahkan di perluas 5.Gagal menciptakan 200 rb wirausaha 6.Hampir semua gerai OKE OC tutup 7.Pembohongan publik bentuk rumah DP0% 8.Rumah DP0% ternyata berupa rusun 9.Janji 232.214 rumah DP0%, hanya 1% yg di bangun 10.Janji Konsep sumur resapan tak berhasil 11.Janji normalisasi kali ciliwung tak di kerjakan 12.Janji Sodetan kali ciliwung tak di kerjakan 13.JIS yang tidak sesuai standar FIFA 14.Kemacetan dan banjir terus terjadi 15.Gagal membangun gelangang remaja dg nilai 432m 16.Janji jual Saham bir angker ,tapi tidak di tepati 17.Janji KJS untuK guru ngaji , tidak terlaksana 18.Menutup transparansi APBD DKI. 19.Pengadaan lahan rumah DP0% terjadi korupsi 20.Janji normalisasi,naturalisasi sungai 0% tak di tepati 21.Janji Program kredit perempuan tidak terwujudkan 22.Janji 267 rumah aman ,hanya 4 yg di bangun 23.Kesenjangan di ibukota semakin meningkat 24.Janji dari 261 ,hanya 100 taman yg di bangun 25.tidak menepati janji bangun museum betawi 26.DKI urutan ke 2 di dunia ,polusi udara terburuk 27.Tidak mencapai target layanan air bersih 28.janji 15 puskesmas yg akan di bangun ,hanya 1 yg jadi 29.korban penggusuran jis ,masih ada sampai saat ini 30. 5.2 trilun pembangunan ITF ,di tinggal investor TONG KOSONG BERBUNYI NYARING, ORANG HANYA PANDAI BERBICARA , TAPI TIDAK BISA BEKERJA SESUAI APA YG DI SAMPAIKANNYa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-09,"Tetangga bakar sampah sehari 5x juga buat kualitas udara buruk sulit untuk mendapatkan kesehatan .. di tegur pun gk mempan, ada aturan larangan nya gk sih ? selalu bakar sampah bikin polusi, saya yakin disengaja",Metro tv.. inikan yg dioceh RG tentang IKN. Jkarta kan sdh darurat polusi udara,"sebagai orang indonesia yg sudah tinggal 15 tahun di singapur dan kembali ke jakarta krn urusan kerjaan bbrp bulan ini, sangat ngerasain bgt kualitas udaranya bikin ga enak untuk jalan2 di luar tanpa masker.... olahraga pun akhirnya terpaksa indoor krn di luar bikin saya sesak nafas dan batuk2... sedih bgt liat ibu kota makin parah keadaannya, makin macet/polusi dimana2 drpd dulu sebelum saya pindah ke singapur...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-10,Ini pertanda penjabat gubernur tidak bekerja dan tidak peduli kepada penduduk jakarta. Jakarta dapat predikat sebagai kota terpolusi no.1 di dunia... Hebat prestasi heru budi ini. Mantap.,alloh itu maha adil kabut itu sebagae peringatan bagi tukang demo,"Mesti segera realisasi wacana bagi jam kerja, selain itu kalo di kasih hujan buatan bisa ga sih sedikit membantu?",Sejak diJabat Gub Giveaway makin kacau Jakarta,Untuk mengatasinya perlu dibuat KTP Udara DKI seperti kata pk mantan. Agar udara yg tdk punya KTP Udara DKI tdk seenaknya bikin polusi di Jakarta,Boro2 urus solusi polusi di Tangsel..urusin tata kota aja masih morat marit..,Solusinya angin dari selatan di bikin flow lewat terowongan atau bikin atap ducting miring,Jadi gak heran jangan kira warga jakarta pake masker terus bukan berarti masih ada Covid19 akan tetapi dikarenakan kualitas udara buruk di Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,Selama laju kendaraan pribadi ga di batasi jngn harap JKT bisa bebas polusi....,"Waktu Pak Anies menjabat, Di tegaskan untuk pakai kendaraan umum dan mengurangi kendaraan pribadi sehingga kuliatas udara di jakarta membaik, Ehh skarang sejak di pegang yg kata nya Hero malah balik amburadul lgi!!",Anda bisa lihat bintang bintang di langit jakarta anda hebat,Karna gak hujan pula jadi polusi,"apa yg bisa diharapkan sdh 2024,semua pengganti jg tidak bisa berharap .... mau bersih pindah ke gunung solusinya jgn di Jakarta",Usahakan pake sepeda kuranggi kendaraan sepeda motor untuk mengurangi polusi udara harus beralih naek sepeda dan bis umum seperti di China .,"Sekiranya alat transportasi KAKI lebih banyak digunakan mungkin polusi akan banyak berkurang dan lingkungan bisa menjadi lebih sehat, dgn catatan alat transportasinya itu tidak diserang asam urat atau kena diabetes meletus yg bisa membuat tambah tidak sehat alat transportasinya itu dan malah menjadi penyakit yg perlu dirawat inap di rumah sehat.",POLUSI TWRJADI KARENA CUACA PANAS TANPA HUJAN. BUKAN CUMA JAKARTA KOK. SEKKITARAN JAKARTA SAYA LIHAT SAMA SAJA,Woi pejabat Jakarta STOP naik mobil pribadi kok naik ANGKUTAN umum kereta api itu MRT BBM LRT BASWEY.... Supaya udara Jakarta Tidak kotor asap kendaraan,"mobil listrik tuh bukannya mengurangi polusi, tetapi memindahkan polusi kalau pembangkit listrik nya aja masih pakai batu bara","ya ubah aja bus transjakarta pakai bus listrik, sama aja kayak ojol baik sepeda motor / mobil sama aja","pabrik2 di jakarta aturan sudah pindah,blum truknya yg bolak balik ngirim logistik buat pabrik.....","sumber terbesar polusi udara itu adalah Kendaraan berbahan bakar, itu menyumbang skitar 65% sampai 75% polusi udara di perkotaan. jadi solusi untuk itu yaitu Kendaraan Listrik. dan Pln tenaga surya (plts) juga akan di bangun di indonesia dalam skala besar dalam bbrp tahun ke depan. kendaraan listrik juga enak minim perawatan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-12,"kalau perizinan usaha gak bertele-tele, gak banyak suap dan juga infrastruktur merata selurug indonesia maka pasti gak akan terpusat ke satu daerah aja pabrik2 industri","Tapi emang gila sih, betapa jakarta (dan jabodetabek) itu dikepung oleh pabrik2 dan industri raksasa. Gue yang sedari kecil tinggal di desa di jateng sempat takjub melihat pabrik2 berjejer tanpa henti sepanjang 15 km antara jakarta-depok","Faktor utama polusi udara adalah, PEMBANGKIT LISTRIK Tenaga batu bara . Energi yang dilepas mengarah ke Jakarta (pulau jawa).",Udara sudah kotor begitu masih di konsumsi saja ta.mbak Mas2 Mbak2 nanti kalau sudah pensiun pulang ke desa saja biar berbadan sehat begitu Saya dulu bekerja di jakarta setelah usia saya 50 th saya pulang ke desa sekarang umur saya 68 th ttp masih sehat Begitu Mas2 Mbak2 cara mengatasinya,"Mana ada asap knalpot kendaraan bisa sampe begini, PLTU itu yg bikin polusi parah","Padahal weekend tetep polusinya juga tinggi. Emang kocak ini republik, yg harusnya pejabat sanggup buat bikin regulasi yg pasti. Malah pada jadi sales EV rame","saya jadi presiden, 1 periode jakarta tanpa polusi dan macet. solusinya 20% perusahaan di jabodetabek beserta seluruh karyawan dan partnernya, pindahin ke luar pulau jawa.","Rakyatnya aja kemana2 pake mobil motor, kerja di pabrik industri, tpi cuma nyalahin semua pejabat Mau nanem 1 milyar pohon pun klo masyarakatnya pake kendaraan pribadi terus menerus ya percuma, lagian mau nanem pohon banyak2 gimana org jakarta udh mayoritas wilayahnya semen dan beton semua. Satu2nya cara cuma nutup pabrik2 industri, ganti kendaraan pribadi menjadi sepeda. Tapi klo pemerintah daerah atau pusat tiba2 tutup semua industri, ganti kendaraan motor mobil disuruh pake sepeda, apa rakyatnya mau?? Ya enggak lah org mayoritas masyarakat bekerja dan bertahan hidup dari pabrik dan kendaraan2 motor mobil",5thn Anis Baswedan atasi solusi polusi udara70% aman,"Mobil listrik bukan solusi,Dubai juga banyak mobil listrik,tapi polusi udara tetap buruk.",Polusi paling parah itu dari cerobong pabrik bukan kendaraan bermotor. Pagi2 jam 5 aja udah kabut itu Jakarta.,"Macetnya kg nahan,,yg pada kerja knantoran pda naik mobil, terutama para pejabat negara yg enggan naik angkutan umum,jadi makin macet dech jakarta","Yang nulis berita,yang kritik,yang kampanye,yang koar koar,semuanya masih melakukan kegiatan yang menyebabkan polusi udara,jangan munafik,sadar diri semua",Dp mobil 7jt motor 500rb sudah bawa pulang gmna ngak polusi meningkat,Udara jakarta tidak sehat itulah perlunya IBUKOTA NEGARA DIPINDAH KE IKN NUSANTARA... jaman belanda saja old batavia dipindah ke new batavia di sekitara gambir sekarang... bahkan dipersiapkan Bandoeng sebagai pengganti batavia....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-13,Sayang sekali tidak dibahas kenapa polusi itu ada. Seharusnya bisa dibandingkan juga data time series tingkat polusinya untuk seetidaknya dalam kurun waktu 10 tahun.,"Ngasih yg harusnya gratis aja ini negara gagal. Weekend begini polusinya masih juga tinggi, eh pejabatnya malah jd sales EV. Yg jadi korban tetep rakyatnya","Manusia bodoh susah diajari cerdas, agar polusi emisi gas buang kendaraan di jakarta turun galakan naik angkutan umum, semua warga harus sadar Kesehatan udara dari kita untuk kita. Jangan harapkan dari orang lain.",Ntar malah jalan2 sama aja pergi ngafe pake motor/mobil polusi juga,"Udah gak mungkin klo jalan kaki diterapkan, soalnya struktur kotanya sdh di desain bukan untuk pejalan kaki, kayaknya emang harus diakui klo emang harus pindah deh ibu kotanya, makin mengkhawatirkan sih, kualitas udara makin buruk, permukaan tanah makin turun, kualitas air makin buruk, banjir tiap tahun makin parah, ya harus ada langkah super drastis klo mau mengatasi, salah satunya pindah ibukota, ya mungkin ada cara lain jg maybe, yeah but I don t know","Batasin pengendara di stiap rumah ,,ganjil genap full semua jln Jakarta,,bnyak tanam pohon",Buat ganjil genap jgn terbatas jam tp dalam hitungan per hari. Udah gitu berlakukan di semua jalan ibu kota. Klo takut tegakkan aturan ya gak selese selese utk ciptakan udara bersih. Yg ada udara makin polusi plus global warming.,"Pertanya gue cuma satu dari dl sampe sekarang macet itu segitu gitu aja kendaraan banyaknya juga sama, yg jadi pertanyaan kedua setiap isi BBM yg biasanya seminggu 1 kali full sekrang bisa dua kali isi full, jangan2 ada pengaruh dengan BBM yg makin aneh terutama dikendaraan motor roda dua, coba perhatikan dl sama sekarang setiap kita isi BBM jarang kita temui POM BENSIN selalu antri padat setiap hari. Jangan2 Mempengaruhi udara dari asap kendaraan kita yg setiap kali isi dua kali dalam seminggu.","SEMOGA PEMBANGUNAN JAKARTA SEMAKIN MASIV, BERGUNA, BERMANFAAT BAGI WARGA JAKARTA, SUKSES. SELAMAT, AMAN, NYAMAN DAN BERKAH. SHALLI ALAIH. TIDAK ADA SEBUAH NEGARA MEMBANGUN TANPA MENGELUARKAN POLUSI. ORANG YANG BODOH ADALAH ORANG YANG TEROMBANG-AMBING OMONGAN ORANG. TEGAKKAN LNGKAHMU JAKARTA.",Ya jkt. Ambles..yapotensi. nya banjir rakyat bingung pulogdng. Dan cikarang yg banyak.pabrik kota industri.udara bersih dan sehat..knapa jkt disebut kotor.,Jakarta.sudah tua harus di pindah ibukota.kedataranyg tinggi.katabrin.jkt.klu gasunami. Ya ambles.gunung krakatau meletus imbas nya.ya ke jkrt.,Alhamdulillah Jakarta panen asap kendaraan bermotor dan asap pabrik sebagai pertanda bahwa Jakarta sudah makmur kembali.,"Dari kemaren beritanya polusi udara jakarta parah, buruk dan lain lain. Jelasin dong kenapa, apa karena PLTU, apa karena polusi kendaraan atau karena disebar chemtrail biar pada sakit lagi terus ada virus baru lagi? Percuma berita gini doang ga dikasih tau kenapa jadi bingung juga antisipasi nya gimana",Bukan saja di Jakarta Polusi Buruk. Di Provinsi Bengkulu samaja,"Gubernur jkt sekarang, paling tidak punya program . Bisanya hanya merusak program gubernur sebelumnya",Ngurangin solusi .. Kendaraan baru aja setiap tahun banyak yg keluar baru ...,Yg pada protes klo masih naik kendaraan pribadi di jakarta berarti sama aja munafik!,Sdh wktunya pindah Ibukota krn sdh padat penduduk Klo orang yg menghalangi perpindahan ibukota psti org yg menginginkan org2 yg ada di JABODETABEK mati krn polusi,Biarin aja dh..rakyat pribumi sudah terbiasa menghirup udara tak segar... Mungkin para petinggi2 n penguasa jakarta yg ketakutan akan menghirup udara jakarta sekarang. Ya secepatnya pada pindah ke ikn aja yaaak,"Transportasi tidak bisa di hindari, kenapa tidak energi dan sisa 25% nya yg coba di kurangi? Cerobong2 asap PLTU itu pasti tidak pernah di audit apakah sesuai atau tidak filternya.",Hanya Jakarta yg bisa wujudkan impian kita Segera Jual Rumah Bawa Keluarga Semua Pindah Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
