tanggal,komentar,video_id
2023-08-13,"Manusia bodoh susah diajari cerdas, agar polusi emisi gas buang kendaraan di jakarta turun galakan naik angkutan umum, semua warga harus sadar Kesehatan udara dari kita untuk kita. Jangan harapkan dari orang lain.",OGw2Jhu4KlU
2023-08-13,Ntar malah jalan2 sama aja pergi ngafe pake motor/mobil polusi juga,OGw2Jhu4KlU
2023-08-13,"Udah gak mungkin klo jalan kaki diterapkan, soalnya struktur kotanya sdh di desain bukan untuk pejalan kaki, kayaknya emang harus diakui klo emang harus pindah deh ibu kotanya, makin mengkhawatirkan sih, kualitas udara makin buruk, permukaan tanah makin turun, kualitas air makin buruk, banjir tiap tahun makin parah, ya harus ada langkah super drastis klo mau mengatasi, salah satunya pindah ibukota, ya mungkin ada cara lain jg maybe, yeah but I don't know",OGw2Jhu4KlU
2023-08-13,"Batasin pengendara di stiap rumah ,,ganjil genap full semua jln Jakarta,,bnyak tanam pohon",OGw2Jhu4KlU
2023-08-13,Buat ganjil genap jgn terbatas jam tp dalam hitungan per hari. Udah gitu berlakukan di semua jalan ibu kota. Klo takut tegakkan aturan ya gak selese selese utk ciptakan udara bersih. Yg ada udara makin polusi plus global warming.,OGw2Jhu4KlU
2023-08-13,"Pertanya gue cuma satu dari dl sampe sekarang macet itu segitu gitu aja kendaraan banyaknya juga sama, yg jadi pertanyaan kedua setiap isi BBM yg biasanya seminggu 1 kali full sekrang bisa dua kali isi full, jangan2 ada pengaruh dengan BBM yg makin aneh terutama dikendaraan motor roda dua, coba perhatikan dl sama sekarang setiap kita isi BBM jarang kita temui POM BENSIN selalu antri padat setiap hari. Jangan2 Mempengaruhi udara dari asap kendaraan kita yg setiap kali isi dua kali dalam seminggu.",OGw2Jhu4KlU
2023-08-13,"SEMOGA PEMBANGUNAN JAKARTA SEMAKIN MASIV, BERGUNA, BERMANFAAT BAGI WARGA JAKARTA, SUKSES. SELAMAT, AMAN, NYAMAN DAN BERKAH. SHALLI 'ALAIH.

TIDAK ADA SEBUAH NEGARA MEMBANGUN TANPA MENGELUARKAN POLUSI. ORANG YANG BODOH ADALAH ORANG YANG TEROMBANG-AMBING OMONGAN ORANG. TEGAKKAN LNGKAHMU JAKARTA.",OGw2Jhu4KlU
2023-08-13,Ya jkt. Ambles..yapotensi. nya banjir rakyat bingung pulogdng. Dan cikarang yg banyak.pabrik kota industri.udara bersih dan sehat..knapa jkt  disebut kotor.,OGw2Jhu4KlU
2023-08-13,Jakarta.sudah tua harus di pindah ibukota.kedataranyg tinggi.katabrin.jkt.klu gasunami. Ya ambles.gunung krakatau meletus imbas nya.ya ke jkrt.,OGw2Jhu4KlU
2023-08-13,Alhamdulillah Jakarta panen asap kendaraan bermotor dan asap pabrik sebagai pertanda bahwa Jakarta sudah makmur kembali.,OGw2Jhu4KlU
2023-08-23,Orang yg sakit dan berpenyakit harus  tinggal dijakarta .,r_2Wlk2tENk
2023-09-28,"Perasaan selama ini polusi di Jakarta gak parah amat, sekarang sih amat parah, Ini mah supaya masyarakat Jakarta mau pindah ke IKN, makanya dibikin polusi 😂😂",dh3gLw8rYFo
2023-09-03,"Ini angin musim barat...cek deh pake anemometer...semua pltu dekat jakarta ada di banten dan angin nya ke barat bu....jakarta kan sebelah timur...hhmmm....pltu stack cerobong asap sudah dilengkapi penangkap debu dan selalu di cek oleh bagian k3 serta dinas lingkungan hidup...coba kita cermati...pas covid langit jakarta bagus dan cerah banget...polusi menurun drastis....lagi musim kemarau seperti sekarang dan pltu masih tetep beroperasi.....coba cek yuk emisi kendaraan bermotor kita masing masing, ditambah sama debu yang karena ngg ada hujan jadi bertebaran di udara...belum lagi pabrik pabrik...yuk berfikir cerdas....",dh3gLw8rYFo
2023-08-21,"Pemilik pltu mestinya wajib pasang filter di cerobongnya dan dirawat tuh cerobong, atau ya permudah masyarakat utk pelaporan atas polusi dari cerobong pabrik",dh3gLw8rYFo
2023-08-21,Harusnya jangka panjang segera dibangun Solar power plant dan Wind power plant agar menunjang green ecology enviroment dan polusi,dh3gLw8rYFo
2023-08-21,"ujung2nya asap klanpot yg d salahkan,  n jd alesan pmrintah biar semua kndaraan pk tenaga listrik pdhal utk mmbngkitkan turbin jg hrs pk bbm fosil. jd ini cm mmindahkan polusi dr kota k hutan",dh3gLw8rYFo
2023-08-20,"tahun 2012 gunung kelut meletus.... jarak jogja kediri sekitar 300 km, ehhh abunya sampai genting aku berkilo kilo ...... kok kamu heran ... dengan polusi PLTU",dh3gLw8rYFo
2023-08-20,Kembangin pltn,dh3gLw8rYFo
2023-10-15,"jakarta gak strategis jadi ibukota, semua sektor ditumpuk di jakarta solusi terbaik emang pindah ibukota",aYxs819XQ4o
2023-09-19,Bumi rusak ya karena ulah manusia itu sendiri.kalau dijakarta tidak bisa menghentikan polusi.pindah ibu kota di Kalimantan.lambat laun di Kalimantan jg akan ada polusi.padahal Kalimantan salah satu paru² dunia.,aYxs819XQ4o
2023-09-14,"Polusi udara kan karna kita juga masyarakatnya, lagi pula membuat negara yang udaranya udah kotor bgt jadi tidak kotor kan butuh waktu lama dan kerja sama semua antar pihak. Kalau masih banyak kendaraan, pabrik, sampah dibakar, dll, gak ada gunanya semua penyelesaian selama bukan penyebabnya yang diatasi.",aYxs819XQ4o
2023-09-08,"Jd gini ni saya punya rmh d jakarta, tp macet,biaya hidup mahal,polusi pindah rmh lah k yg lebih baik yg ga macet,biaya hidup lebih murah, ga polusi, lap kerja masih bnyak dihitung2 biaya pindah rmh lebih murah dibandingin perbaiki macet,hemat2, dah naik kendaraan umum, eh tetangga yg lain tetep pke pribadi,hemat listrik eh yg lain tetep boros, kan capek mending pindah.

Diatas jd solusi tuh yg jd masalah adalah
Ini contoh kasusnya rmh pribadi tp kalo ibukota?biaya gede guys?
Tp kalo gini c enak ""eh guys w mau pindah rmh nih, tp buat biaya pindah rmh,beli rmh baru,renovasi rmh w mau open donasi nih, atau nanti w talangin dlu pake uang w, sbagian mungkin w ngutang dlu tp ntar kalian tolong bantu bayar cicilannya ya. Soalnya lu ngerti kan uang w jg terbatas gmna?""

Jd masalah juga nanti kalo yg berpikir pindah rmh bnyak, apakah puncak skrg jd lebih asri adem setelah bnyak villa2d puncak?",aYxs819XQ4o
2023-09-05,Lah itu pabrik dah di tutup ap gk itikad baik,aYxs819XQ4o
2023-09-03,Lawan arus aja susah di tertipkan apalagi polusi,aYxs819XQ4o
2023-09-02,"Kadar polusi dikota mungkin biasa saja, ak kadang pakai masker klu aktivitas tuk jaga kesehatan. Bca sholawat dalam hati klu ada waktu agar polusinya dibawa angin. Seumpama sulit tidur bca ""Allahulaaaaailla haillahuwaalhayyul qoyyumlatakhudu husinatuwwalaanaum"" berulang2 sampai tertidur, tetanggaku tidak mau bca awal ayat Kursi itu saat sulit tidur saat meninggalnya tidak baik",aYxs819XQ4o
2023-08-29,"yogyakarta masih sejuk. . .
semoga tidak terkena polusi udara ❤",aYxs819XQ4o
2023-08-28,Uda dari sejak awal jokowi gak tahan macet dan polusi jakarta. Makanya tinggal di bogor ya khan?,aYxs819XQ4o
2023-08-28,"Saya tinggal di bandung
Tapi polusinya udah lumayan parah
😭😭😭
Jadi aku terkena penyakit infeksi paru ² kecil

Dan Rumah sakitnya PENUUHH bgt terutama sama anak anak

Dan tadi aja ada 14 murid ga masuk sekolah dan banyak guru sakit 😭",aYxs819XQ4o
2023-08-28,"Polusi Jakarta disebabkan 57% oleh asap kendaraan bermotor, 14% dari pengolahan batubara, 13% karena kegiatan2 konstruksi & industri",aYxs819XQ4o
2023-08-27,"Polusi udara ibu kota negara solusinya pindah ikn. Benar, karena di tempat yg baru kondisi daerahnya masih blm seramai jakarta.

Polusi udara kota jakarta solusinya pindah ikn. Kalo yg ini sih nggak tepat, meskipun ibu kota negara pindah polusi udara jakarta nggak ikutan pindah.",aYxs819XQ4o
2023-08-24,"kadar polusi udara lihatnya dimana dan parameternya apa ya?

kalo lihat data pm 2.5 atau NO2 atau SO2 dilihat di pata udara dunia yang paling tinggi malah daerah laut, padang savana, gurun di afrika dan timur tengah, malah hutan amazon juga tinggi nilai polusinya dimana nilainya sudah lebih dari 250 untuk pm 2.5, harusnya sudah bahanya bgt.",aYxs819XQ4o
2023-08-24,Sulusinya mudah tutup pembangkit listik pltu batu bara atau kerja sama dengan perusahaan luar negri untuk pengadaat alat penyaring co² dan beri bantuan dana/pijaman untuk pengendara ojol untuk pebelian motor listik dan mobil listrik dan daerah yang di lewati oleh trasportasi umum mewajibkan masarakat di sekitarnya untuk memakai trasportasi umum dan semua bus trasportasi umum wajib full listrik dan membuat petisi dan aturn untuk masyarakat wajib pakai traspor tasinumum kalo semua di jalani polusi mungkin akan berkuarang sampai 60%,aYxs819XQ4o
2023-08-23,"Langit klo dari jauh kaya berkabut keren ey
Bagus untuk para pengendara terutama yg naik kendaraan pribadi jd bisa nyumbang kabutnya makin padat makin ber'embun,tiap tahun juga yg orang2nya berdatangan lg klo bisa lbh banyak lg biar padat membuar ruang udara plong,ojol tambh terus armada nya biar makin merayap 1 aspal,bangun gedung yg pakai kaca semua yg mantul mantap biar lapisan ozon terkikis 
Joss cakep....

Jgn lupa saling menyalahkan 😂",aYxs819XQ4o
2023-08-22,"jakarta ini kebnykan manusianya lahan hijau berkurang, kendaraan bermotor bertambah",aYxs819XQ4o
2023-08-21,Kendaraan mobil dan motor di kurangin mengurangi polusi dgn naik sepeda dan jalan kaki,aYxs819XQ4o
2023-08-17,Emang iya dengan tidak melakukan apa-apa polusi akan hilang dg sendirinya?,aYxs819XQ4o
2023-08-16,"Solusi nya jakarta WFH, kurangi kendaraan dan PLTU itu kalo bisa ditutup aja",aYxs819XQ4o
2023-08-15,Mau beralih ke PLTN kabar baiknya kualitas udara semakin jauh membaik atau tetap menggunakan PLTU yang bahan bakarnya dari Batubara?. Kalau orang yang peduli dengan kesehatan pasti jawabnya yang banyak manfaatnya daripada mudhorotnya.,aYxs819XQ4o
2023-08-15,"Arah angin dr barat ke timur, PLT batubara menghasilkan banyak polusi...kalo masalah kendaraan,,dr kemaren"" jg jkt udh padat kendaraan bermotor.",aYxs819XQ4o
2023-08-15,Itu yg kemaren nebangin banyak pohon di sekitar Monas gmn ya nggak mikir apa?😢,aYxs819XQ4o
2023-08-15,"Karena pergerakan ekonomi yang ada di Indonesia hanya terpusat dikota tertentu saja,itu yang menyebabkan polusi terjadi karena ketidak seimbangan itu",aYxs819XQ4o
2023-08-15,Ada pabrik2 besar dan PLT dengan batubara di Banten/Serang. Kemungkinan asap polusi nya mengarah ke Selatan yaitu Jakarta dll. Perlu evaluasi yg serius dari yg berwenang.,aYxs819XQ4o
2023-12-05,"Mau komen apa ya, 
Mau bilang anies jelek tapi dulu banyak yang pilih, 
Mau bilang pemerintah jelek tapi banjir sudah dari jaman dulu, mau bilang pindah ibukota tapi banyak yang tidak mendukung, padahal sampai masanya jakarta pasti tenggelam",bnb8RHwortQ
2023-12-03,"Anies gk bisa menanangan bnjir,nmanya banjir,datangnya  gdn tba2,siapa pemimpinya gk bisa menangani",bnb8RHwortQ
2023-12-02,"Apakah kucing kalau banjir, pergi ke luar kota yakk.... Pergi keman ya kira kira",bnb8RHwortQ
2023-12-02,WoW Jakarta so nice❤❤❤❤,bnb8RHwortQ
2023-12-02,"KALAU MAU BEBAS BANJIR SEPERTI DI KAMPUNG PULO 
YA HARUS DI NORMALISASI KALI CILIWUNG NYA .
WARGA YANG DI BANTARAN HARUS  MAU DI RELOKASI .
BANTARAN HABIS BUAT RUMAH .
APA MAU SEPERTI INI TERUS .",bnb8RHwortQ
2023-12-02,"kerja keras, kerja cerdas, kerja tuntas ... dari 33 km daerah kali ciliwung baru 17 km yang sudah dlakukan normalisasi ... masih 16 km lagi pembebasan lahan pr bagi pemprov dki jakarta untuk menyelesaikan... kemenpupr ri yang membangun tanggul, sheetfile, jalan inspeksi agar mobil truk dan alat berat dapat masuk mengangkut sampah dan lumpur dr sungai  ... perlu ketegasan dari jajaran pemprov dki jakarta untuk memindah warga ke rumah susun agar dampak bencana banjir tidak terjadi ... siapa pun pemimpin harus berani tidak populer untuk melanjutkan program pengendalian banjir dimasa yang akan datang ....",bnb8RHwortQ
2023-12-02,"Saya warga bogor hulu sungai.. mohon maaf air lari ke jakarta. Perlu diketahui.. pegunungan di jalur puncak banyak beralih fungsi, tadinya hutan dg pohon2 banyak sekarang banyak ditanam beton, outbond ,villa, dan rumput2 yg indah dipandang dan view yg bagus tapi tidak menyerap air. Siapa pemiliknya? Mereka orang2 kaya dari jakarta, pejabat atau konglomerat keturunan. Kami miris gunung2 jadi jalan aspal tembus ketengah hutan. Salah siapa? Entahlah.. perhutani, pemda atau yg banyak uang. Warga ga diuntungkan hanya air yg cepat kering saat kemarau dan cepat meluap saat hujan. Karena air hutan masuk selokan semua. Miris emang.. tapi apadaya cuma warga kecil yg merindukan hutan terjaga..😢",bnb8RHwortQ
2023-12-02,"UDAH TAU SUMUR RESAPAN MENGURANGI BANJIR DAN DIPAKAI DINEGARA MAJU, MALAH GA DILANJUTIN SAMA SI HERU YANG GAA BERGUNA, MALAH BILANG GA BISA NGATASIN BANJIR, HADEHHH, HERU HERU KERJA DIJAKARTA NGAPAIN",bnb8RHwortQ
2023-12-02,"Pemimpinya ga ada yg salah..
Yang salah warganya,kenapa tinggal di bantaran sungai.
Sampai kapanpun beritanya sama tiap musim hujan kebanjiran.",bnb8RHwortQ
2023-12-02,"Jakarta oh Jakarta, mau diapain juga tetep aja banjir",bnb8RHwortQ
2023-12-01,ibukota gini amat ya ... mungkin satu2 ny ibukota negara yg sering banjir ... pantes  ibukota ny di pindah ke ikn ...,bnb8RHwortQ
2023-12-01,"Salah Pak Anies nih....kenapa maju Pilpres.... akibatnya curah hujan tinggi....😂😂😂😂......
Hallo PJ gubernur DKI....apa kabar anda hari ini.....????
TILANG SAJA Pak tuh air yg PARKIR lama di wilayah Jakarta.....😂 jangan kasih ampun.",bnb8RHwortQ
2023-12-01,"Gara2 anies nyalon presiden,  ya gini terus,  jakarta banjir",bnb8RHwortQ
2023-12-01,"Yang dibangun dibagus2in adalah MALL...yang ditanam...pondasi perumahan elit, bukannya pepohonan. Katanya Jakarta akan tenggelam, kok dissna dibangun besar2an pulau reklamasi ya?",bnb8RHwortQ
2023-12-01,"Marilah kita menjaga Alam menjaga Lingkungan, Stop penebangan hutan di hulu sungai, Stop penambangan ilegal, dn Stop membuang sampah di sungai,",bnb8RHwortQ
2023-12-01,"Terima kasih jakarta telah pilih anis
Solusi banjir jakarta dengan natularisasi sumur serapan merusak jalan
Banjir top markotok
Ayat mayat makan itu",bnb8RHwortQ
2023-12-01,"Gimana nggak mau banjir,isi jakarta tanahnya di semen,terus pengerukan sungai juga dangkal dan got gorong2 di rapetin pake cor2 an atau semen,bagus jaman belanda sih setiap kecamatan/daerah punya tempat penampungan air(waduk kecil) untuk meminimalisasi kebanjiran,cuma sayangnya sekarang sudah tidak di fungsikan lagi, semoga kedepannya lebih baik lagi 🙏🇮🇩",bnb8RHwortQ
2023-06-06,"Seharusnya Pemerintah harus bisa :
1. Buat Inovasi Mesin Penyaring udara kotor atau Alat Penghisap Udara Kotor seperti Exhaust Fan  disetiap jalan di Jakarta dan Kota2 Lain di Indonesia yang punya Polusi Tinggi 
2. Di Luar Negeri ada Pabrik Penyaring atau penghisap udara kotor menjadi oksigen siap hirup 
3. Mahasiswa di Medan ada buat Inovasi Penyaring atau  Penghisap udara kotor.

Note : Harus ada Solusi yang terbaik dari Pemerintah di setiap ada masalah di negara kita sendiri, kasihan orang2 dan anak2 kecil yang terkena dampaknya akibat menghirup udara kotor.

Nyawa Setiap Manusia Sangat Berharga",E5cVVFzhwgM
2023-06-06,"Seharusnya Pemerintah harus bisa :
1. Buat Inovasi Mesin Penyaring udara kotor atau Alat Penghisap Udara Kotor seperti Exhaust Fan  disetiap jalan di Jakarta dan Kota2 Lain di Indonesia yang punya Polusi Tinggi 
2. Di Luar Negeri ada Pabrik Penyaring atau penghisap udara kotor menjadi oksigen siap hirup 
3. Mahasiswa di Medan ada buat Inovasi Penyaring atau  Penghisap udara kotor.

Note : Harus ada Solusi yang terbaik dari Pemerintah di setiap ada masalah di negara kita sendiri, kasihan orang2 dan anak2 kecil yang terkena dampaknya akibat menghirup udara kotor.

Nyawa Setiap Manusia Sangat Berharga",E5cVVFzhwgM
2023-06-06,"Seharusnya Pemerintah harus bisa :
1. Buat Inovasi Mesin Penyaring udara kotor atau Alat Penghisap Udara Kotor seperti Exhaust Fan  disetiap jalan di Jakarta dan Kota2 Lain di Indonesia yang punya Polusi Tinggi 
2. Di Luar Negeri ada Pabrik Penyaring atau penghisap udara kotor menjadi oksigen siap hirup 
3. Mahasiswa di Medan ada buat Inovasi Penyaring atau  Penghisap udara kotor.

Note : Harus ada Solusi yang terbaik dari Pemerintah di setiap ada masalah di negara kita sendiri, kasihan orang2 dan anak2 kecil yang terkena dampaknya akibat menghirup udara kotor.

Nyawa Setiap Manusia Sangat Berharga",E5cVVFzhwgM
2023-08-10,Ini pertanda penjabat gubernur tidak bekerja dan tidak peduli kepada penduduk jakarta. Jakarta dapat predikat sebagai kota terpolusi no.1 di dunia... Hebat prestasi heru budi ini. Mantap. 😊😊,Xmd_6ZXl6lI
2023-08-08,Ini akibat gubenur give away yang songong bin sotoy....padahal waktu pak anies jakarta sudah bagus kualitas udaranya dan itu terbukti jakarta mendapat banyak penghargaan😊,Xmd_6ZXl6lI
2023-08-08,"*SIMAK,DERETAN KEGAGALAN ANIS YANG HANYA BERMODAL DENGAN JANJI MANIS, & DI KLAIM SI PALING CERDAS,TERNYATA GAK TUNTAS*
👇

1.APBD terbesar ,tapi gagal memakmurkan warganya
2.Meningkatnya pengangguran mencapai 8%
3.Meningkatnya kemiskinan 0,39 - 0,42 
4.Tetap memberikan izin reklamasi bahkan di perluas
5.Gagal menciptakan 200 rb wirausaha
6.Hampir semua gerai OKE OC tutup
7.Pembohongan publik bentuk rumah DP0%
8.Rumah DP0% ternyata berupa rusun
9.Janji 232.214 rumah DP0%, hanya 1% yg di bangun
10.Janji Konsep sumur resapan tak berhasil
11.Janji normalisasi kali ciliwung tak di kerjakan
12.Janji Sodetan kali ciliwung tak di kerjakan
13.JIS yang tidak sesuai standar FIFA
14.Kemacetan dan banjir terus terjadi 
15.Gagal membangun gelangang remaja dg nilai 432m
16.Janji jual Saham bir angker ,tapi tidak di tepati
17.Janji KJS untuK guru ngaji , tidak terlaksana
18.Menutup transparansi APBD DKI.
19.Pengadaan lahan rumah DP0% terjadi korupsi
20.Janji normalisasi,naturalisasi sungai 0% tak di tepati
21.Janji Program kredit perempuan tidak terwujudkan
22.Janji 267 rumah aman ,hanya 4 yg di bangun
23.Kesenjangan di ibukota semakin meningkat
24.Janji dari 261 ,hanya 100 taman yg di bangun
25.tidak menepati janji bangun museum betawi
26.DKI urutan ke 2 di dunia ,polusi udara terburuk
27.Tidak mencapai target layanan air bersih 
28.janji 15 puskesmas yg akan di bangun ,hanya 1 yg jadi
29.korban penggusuran jis ,masih ada sampai saat ini
30. 5.2 trilun pembangunan ITF ,di tinggal investor

*""TONG KOSONG BERBUNYI NYARING, ORANG HANYA PANDAI BERBICARA , TAPI TIDAK BISA BEKERJA SESUAI APA YG DI SAMPAIKANNYa""*",Xmd_6ZXl6lI
2023-08-15,"Assalamualaikum warahmatullahi wabarokatu wilujeng enjin 🙏🌏🌈🐯 bagaimana Bu Mentri tentang limbah yang di buang ke laut dekat pembakaran mayat di daerah muara tawar sering say memancing ikan limbah yang di buang Kel laut air walaupun sudah di saring tapi bau air nya juga panas menimbulkan bau tidak sedap   dan ada juga di daerah Babelan melalui sungai atau kali bekasi ujung muara yaitu kali CI B L ada industri batu bara.semunya berada di wilayah Utara Bekasi kec.tarumajaya.dan muara tawar juga masuk wilayah desa Sagara jaya.dan disitu juga ada dua tokoh partai dari  anggota DPR dari PDI dan Sekarang saya survei ada perwakilan dari partai Nasdem ini dari dulu sampai selalulah keluarga besar nya semoga Nasdem yang akan berjuang di Sagara jaya jangan ada money politik seperti PDI saya dulu jualan es kelapa di depan gapura arhanud sekarang jadi warteg nasi.saya 10 tahun tinggal di sana dan saya sebagai saksi dan saya pernah di lalui oleh presiden SBY dan ibu Ani Yudhoyono melintasi jalan ketika seluruh Jakarta banjir besar termasuk Bekasi.. Utara presiden SBY sempat meninjau masyarakat yang terkena musibah banjir dan membagikan sembako Mei instansi untuk warga yang terkena banjir Alhamdulillah saya dapat dari Demokrat walupun 5 bungkus ini fakta silahkan tanyakan beliau mantan presiden SBY.
🐯🌈🌏🙏🌃😭😊😀☮️🔯🏡❤️🦁💪💪💪",9p4CbTvon7g
